Microbiome sample,Medium Prep,Sequencing sample
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-EtInc_220215,DM1073_seq_cor
Stool006,GAM-EtInc_220215,DM1073_seq_cor
Stool006,GAM-VANCO_220215,DM963_seq_cor
Stool006,GAM-VANCO_220215,DM963_seq_cor
Stool006,GAM-CAFFE_220215,DM958_seq_cor
Stool006,GAM-CAFFE_220215,DM958_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,GAM-UREA_220215,DM961_seq_cor
Stool006,GAM-UREA_220215,DM961_seq_cor
Stool006,GAM-TRPTO_220215,DM962_seq_cor
Stool006,GAM-TRPTO_220215,DM962_seq_cor
Stool006,ISO-0023_220215,DM957_seq_cor
Stool006,ISO-0023_220215,DM957_seq_cor
Stool006,GAM-NaCl_220215,DM964_seq_cor
Stool006,GAM-NaCl_220215,DM964_seq_cor
Stool006,ISO-0008_220215,DM965_seq_cor
Stool006,ISO-0008_220215,DM965_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0012_220215,DM967_seq_cor
Stool006,ISO-0012_220215,DM967_seq_cor
Stool006,ISO-0011_220215,DM968_seq_cor
Stool006,ISO-0011_220215,DM968_seq_cor
Stool006,ISO-0029_220215,DM969_seq_cor
Stool006,ISO-0029_220215,DM969_seq_cor
Stool006,ISO-0028_220215,DM970_seq_cor
Stool006,ISO-0028_220215,DM970_seq_cor
Stool006,ISO-0026_220215,DM971_seq_cor
Stool006,ISO-0026_220215,DM971_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0019_220215,DM973_seq_cor
Stool006,ISO-0019_220215,DM973_seq_cor
Stool006,ISO-0030_220215,DM974_seq_cor
Stool006,ISO-0030_220215,DM974_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0018_220215,DM979_seq_cor
Stool006,ISO-0018_220215,DM979_seq_cor
Stool006,ISO-0015_220215,DM980_seq_cor
Stool006,ISO-0015_220215,DM980_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0021_220215,DM986_seq_cor
Stool006,ISO-0021_220215,DM986_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool007,GAM-TRPTO_220215,DM1021_seq_cor
Stool007,GAM-TRPTO_220215,DM1021_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-CAFFE_220215,DM1023_seq_cor
Stool007,GAM-CAFFE_220215,DM1023_seq_cor
Stool007,GAM-NaCl_220215,DM1024_seq_cor
Stool007,GAM-NaCl_220215,DM1024_seq_cor
Stool007,ISO-0010_220215,DM1025_seq_cor
Stool007,ISO-0010_220215,DM1025_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0011_220215,DM1028_seq_cor
Stool007,ISO-0011_220215,DM1028_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0017_220215,DM1030_seq_cor
Stool007,ISO-0017_220215,DM1030_seq_cor
Stool007,ISO-0008_220215,DM1031_seq_cor
Stool007,ISO-0008_220215,DM1031_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0020_220215,DM1041_seq_cor
Stool007,ISO-0020_220215,DM1041_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0009_220215,DM1043_seq_cor
Stool007,ISO-0009_220215,DM1043_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,ISO-0016_220215,DM1048_seq_cor
Stool007,ISO-0016_220215,DM1048_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0015_220215,DM1051_seq_cor
Stool007,ISO-0015_220215,DM1051_seq_cor
Stool007,GAM-pSCRN_220215,DM1074_seq_cor
Stool007,GAM-EtInc_220215,DM1075_seq_cor
Stool007,GAM-EtInc_220215,DM1075_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-EtInc_220215,DM1069_seq_cor
Stool003,GAM-EtInc_220215,DM1069_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0017_220215,DM831_seq_cor
Stool003,ISO-0017_220215,DM831_seq_cor
Stool003,ISO-0011_220215,DM833_seq_cor
Stool003,ISO-0011_220215,DM833_seq_cor
Stool003,ISO-0029_220215,DM834_seq_cor
Stool003,ISO-0029_220215,DM834_seq_cor
Stool003,ISO-0028_220215,DM835_seq_cor
Stool003,ISO-0028_220215,DM835_seq_cor
Stool003,ISO-0010_220215,DM836_seq_cor
Stool003,ISO-0010_220215,DM836_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,GAM-UREA_220215,DM839_seq_cor
Stool003,GAM-UREA_220215,DM839_seq_cor
Stool003,GAM-TRPTO_220215,DM840_seq_cor
Stool003,GAM-TRPTO_220215,DM840_seq_cor
Stool003,ISO-0023_220215,DM844_seq_cor
Stool003,ISO-0023_220215,DM844_seq_cor
Stool003,GAM-CAFFE_220215,DM842_seq_cor
Stool003,GAM-CAFFE_220215,DM842_seq_cor
Stool003,GAM-NaCl_220215,DM843_seq_cor
Stool003,GAM-NaCl_220215,DM843_seq_cor
Stool003,GAM-NaCl_220215,DM843_seq_cor
Stool003,GAM-VANCO_220215,DM841_seq_cor
Stool003,GAM-VANCO_220215,DM841_seq_cor
Stool003,GAM-VANCO_220215,DM841_seq_cor
Stool003,ISO-0026_220215,DM845_seq_cor
Stool003,ISO-0026_220215,DM845_seq_cor
Stool003,ISO-0026_220215,DM845_seq_cor
Stool003,ISO-0013_220215,DM846_seq_cor
Stool003,ISO-0013_220215,DM846_seq_cor
Stool003,ISO-0013_220215,DM846_seq_cor
Stool003,ISO-0019_220215,DM847_seq_cor
Stool003,ISO-0019_220215,DM847_seq_cor
Stool003,ISO-0019_220215,DM847_seq_cor
Stool003,ISO-0030_220215,DM848_seq_cor
Stool003,ISO-0030_220215,DM848_seq_cor
Stool003,ISO-0020_220215,DM849_seq_cor
Stool003,ISO-0020_220215,DM849_seq_cor
Stool003,ISO-0024_220215,DM850_seq_cor
Stool003,ISO-0024_220215,DM850_seq_cor
Stool003,ISO-0025_220215,DM851_seq_cor
Stool003,ISO-0025_220215,DM851_seq_cor
Stool003,ISO-0021_220215,DM852_seq_cor
Stool003,ISO-0021_220215,DM852_seq_cor
Stool003,ISO-0009_220215,DM853_seq_cor
Stool003,ISO-0009_220215,DM853_seq_cor
Stool003,ISO-0014_220215,DM854_seq_cor
Stool003,ISO-0014_220215,DM854_seq_cor
Stool003,ISO-0016_220215,DM855_seq_cor
Stool003,ISO-0016_220215,DM855_seq_cor
Stool003,ISO-0018_220215,DM857_seq_cor
Stool003,ISO-0018_220215,DM857_seq_cor
Stool003,ISO-0018_220215,DM857_seq_cor
Stool003,ISO-0015_220215,DM858_seq_cor
Stool003,ISO-0015_220215,DM858_seq_cor
Stool003,BBE-STD_220215,DM859_seq_cor
Stool003,BBE-STD_220215,DM859_seq_cor
Stool003,MRS-STD_220215,DM866_seq_cor
Stool003,MRS-STD_220215,DM866_seq_cor
Stool003,MRS-STD_220215,DM866_seq_cor
Stool005,GAM-EtInc_220215,DM1071_seq_cor
Stool005,GAM-EtInc_220215,DM1071_seq_cor
Stool005,GAM-NaCl_220215,DM893_seq_cor
Stool005,GAM-NaCl_220215,DM893_seq_cor
Stool005,GAM-NaCl_220215,DM893_seq_cor
Stool005,ISO-0023_220215,DM908_seq_cor
Stool005,ISO-0023_220215,DM908_seq_cor
Stool005,ISO-0023_220215,DM908_seq_cor
Stool005,ISO-0026_220215,DM895_seq_cor
Stool005,ISO-0026_220215,DM895_seq_cor
Stool005,ISO-0026_220215,DM895_seq_cor
Stool005,ISO-0013_220215,DM896_seq_cor
Stool005,ISO-0013_220215,DM896_seq_cor
Stool005,ISO-0013_220215,DM896_seq_cor
Stool005,ISO-0019_220215,DM897_seq_cor
Stool005,ISO-0019_220215,DM897_seq_cor
Stool005,ISO-0019_220215,DM897_seq_cor
Stool005,ISO-0030_220215,DM898_seq_cor
Stool005,ISO-0030_220215,DM898_seq_cor
Stool005,ISO-0030_220215,DM898_seq_cor
Stool005,ISO-0020_220215,DM899_seq_cor
Stool005,ISO-0020_220215,DM899_seq_cor
Stool005,ISO-0020_220215,DM899_seq_cor
Stool005,ISO-0028_220215,DM900_seq_cor
Stool005,ISO-0028_220215,DM900_seq_cor
Stool005,ISO-0028_220215,DM900_seq_cor
Stool005,ISO-0027_220215,DM901_seq_cor
Stool005,ISO-0027_220215,DM901_seq_cor
Stool005,ISO-0027_220215,DM901_seq_cor
Stool005,ISO-0010_220215,DM902_seq_cor
Stool005,ISO-0010_220215,DM902_seq_cor
Stool005,ISO-0010_220215,DM902_seq_cor
Stool005,ISO-0008_220215,DM903_seq_cor
Stool005,ISO-0008_220215,DM903_seq_cor
Stool005,ISO-0008_220215,DM903_seq_cor
Stool005,ISO-0017_220215,DM904_seq_cor
Stool005,ISO-0017_220215,DM904_seq_cor
Stool005,ISO-0017_220215,DM904_seq_cor
Stool005,ISO-0012_220215,DM905_seq_cor
Stool005,ISO-0012_220215,DM905_seq_cor
Stool005,ISO-0012_220215,DM905_seq_cor
Stool005,ISO-0011_220215,DM906_seq_cor
Stool005,ISO-0011_220215,DM906_seq_cor
Stool005,ISO-0011_220215,DM906_seq_cor
Stool005,GAM-TRPTO_220215,DM907_seq_cor
Stool005,GAM-TRPTO_220215,DM907_seq_cor
Stool005,GAM-TRPTO_220215,DM907_seq_cor
Stool005,GAM-VANCO_220215,DM894_seq_cor
Stool005,GAM-VANCO_220215,DM894_seq_cor
Stool005,GAM-VANCO_220215,DM894_seq_cor
Stool005,GAM-CAFFE_220215,DM911_seq_cor
Stool005,GAM-CAFFE_220215,DM911_seq_cor
Stool005,GAM-CAFFE_220215,DM911_seq_cor
Stool005,GAM-UREA_220215,DM912_seq_cor
Stool005,GAM-UREA_220215,DM912_seq_cor
Stool005,GAM-UREA_220215,DM912_seq_cor
Stool005,ISO-0029_220215,DM913_seq_cor
Stool005,ISO-0029_220215,DM913_seq_cor
Stool005,ISO-0029_220215,DM913_seq_cor
Stool005,ISO-0018_220215,DM915_seq_cor
Stool005,ISO-0018_220215,DM915_seq_cor
Stool005,ISO-0018_220215,DM915_seq_cor
Stool005,ISO-0015_220215,DM916_seq_cor
Stool005,ISO-0015_220215,DM916_seq_cor
Stool005,BBE-STD_220215,DM917_seq_cor
Stool005,BBE-STD_220215,DM917_seq_cor
Stool005,BBE-STD_220215,DM917_seq_cor
Stool005,ISO-0024_220215,DM919_seq_cor
Stool005,ISO-0024_220215,DM919_seq_cor
Stool005,ISO-0024_220215,DM919_seq_cor
Stool005,ISO-0025_220215,DM920_seq_cor
Stool005,ISO-0025_220215,DM920_seq_cor
Stool005,ISO-0021_220215,DM921_seq_cor
Stool005,ISO-0021_220215,DM921_seq_cor
Stool005,ISO-0009_220215,DM922_seq_cor
Stool005,ISO-0009_220215,DM922_seq_cor
Stool005,ISO-0009_220215,DM922_seq_cor
Stool005,ISO-0014_220215,DM923_seq_cor
Stool005,ISO-0014_220215,DM923_seq_cor
Stool005,ISO-0014_220215,DM923_seq_cor
Stool005,ISO-0016_220215,DM924_seq_cor
Stool005,ISO-0016_220215,DM924_seq_cor
Stool005,ISO-0016_220215,DM924_seq_cor
Stool005,MRS-STD_220215,DM934_seq_cor
Stool005,MRS-STD_220215,DM934_seq_cor
Stool005,MRS-STD_220215,DM934_seq_cor
Stool002,GAM-EtInc_220215,DM1067_seq_cor
Stool002,GAM-EtInc_220215,DM1067_seq_cor
Stool002,GAM-EtInc_220215,DM1067_seq_cor
Stool002,ISO-0018_220215,DM766_seq_cor
Stool002,ISO-0018_220215,DM766_seq_cor
Stool002,ISO-0015_220215,DM767_seq_cor
Stool002,ISO-0015_220215,DM767_seq_cor
Stool002,ISO-0015_220215,DM767_seq_cor
Stool002,BBE-STD_220215,DM768_seq_cor
Stool002,BBE-STD_220215,DM768_seq_cor
Stool002,MRS-STD_220215,DM769_seq_cor
Stool002,MRS-STD_220215,DM769_seq_cor
Stool002,ISO-0024_220215,DM770_seq_cor
Stool002,ISO-0024_220215,DM770_seq_cor
Stool002,ISO-0024_220215,DM770_seq_cor
Stool002,ISO-0025_220215,DM771_seq_cor
Stool002,ISO-0025_220215,DM771_seq_cor
Stool002,ISO-0025_220215,DM771_seq_cor
Stool002,ISO-0021_220215,DM772_seq_cor
Stool002,ISO-0021_220215,DM772_seq_cor
Stool002,ISO-0021_220215,DM772_seq_cor
Stool002,ISO-0009_220215,DM773_seq_cor
Stool002,ISO-0009_220215,DM773_seq_cor
Stool002,ISO-0014_220215,DM774_seq_cor
Stool002,ISO-0014_220215,DM774_seq_cor
Stool002,ISO-0014_220215,DM774_seq_cor
Stool002,ISO-0016_220215,DM775_seq_cor
Stool002,ISO-0016_220215,DM775_seq_cor
Stool002,ISO-0016_220215,DM775_seq_cor
Stool002,ISO-0026_220215,DM776_seq_cor
Stool002,ISO-0026_220215,DM776_seq_cor
Stool002,ISO-0013_220215,DM777_seq_cor
Stool002,ISO-0013_220215,DM777_seq_cor
Stool002,ISO-0019_220215,DM778_seq_cor
Stool002,ISO-0019_220215,DM778_seq_cor
Stool002,ISO-0008_220215,DM779_seq_cor
Stool002,ISO-0008_220215,DM779_seq_cor
Stool002,ISO-0008_220215,DM779_seq_cor
Stool002,ISO-0020_220215,DM780_seq_cor
Stool002,ISO-0020_220215,DM780_seq_cor
Stool002,ISO-0020_220215,DM780_seq_cor
Stool002,ISO-0010_220215,DM781_seq_cor
Stool002,ISO-0010_220215,DM781_seq_cor
Stool002,ISO-0010_220215,DM781_seq_cor
Stool002,ISO-0027_220215,DM782_seq_cor
Stool002,ISO-0027_220215,DM782_seq_cor
Stool002,GAM-NaCl_220215,DM783_seq_cor
Stool002,GAM-NaCl_220215,DM783_seq_cor
Stool002,GAM-NaCl_220215,DM783_seq_cor
Stool002,GAM-TRPTO_220215,DM784_seq_cor
Stool002,GAM-TRPTO_220215,DM784_seq_cor
Stool002,GAM-TRPTO_220215,DM784_seq_cor
Stool002,GAM-VANCO_220215,DM790_seq_cor
Stool002,GAM-VANCO_220215,DM790_seq_cor
Stool002,GAM-VANCO_220215,DM790_seq_cor
Stool002,ISO-0032_220215,DM786_seq_cor
Stool002,ISO-0032_220215,DM786_seq_cor
Stool002,ISO-0032_220215,DM786_seq_cor
Stool002,GAM-CAFFE_220215,DM788_seq_cor
Stool002,GAM-CAFFE_220215,DM788_seq_cor
Stool002,GAM-CAFFE_220215,DM788_seq_cor
Stool002,GAM-UREA_220215,DM789_seq_cor
Stool002,GAM-UREA_220215,DM789_seq_cor
Stool002,GAM-UREA_220215,DM789_seq_cor
Stool002,ISO-0023_220215,DM785_seq_cor
Stool002,ISO-0023_220215,DM785_seq_cor
Stool002,ISO-0029_220215,DM791_seq_cor
Stool002,ISO-0029_220215,DM791_seq_cor
Stool002,ISO-0028_220215,DM792_seq_cor
Stool002,ISO-0028_220215,DM792_seq_cor
Stool002,ISO-0030_220215,DM793_seq_cor
Stool002,ISO-0030_220215,DM793_seq_cor
Stool002,ISO-0030_220215,DM793_seq_cor
Stool002,ISO-0017_220215,DM794_seq_cor
Stool002,ISO-0017_220215,DM794_seq_cor
Stool002,ISO-0017_220215,DM794_seq_cor
Stool002,ISO-0012_220215,DM795_seq_cor
Stool002,ISO-0012_220215,DM795_seq_cor
Stool002,ISO-0012_220215,DM795_seq_cor
Stool002,ISO-0011_220215,DM796_seq_cor
Stool002,ISO-0011_220215,DM796_seq_cor
Stool002,ISO-0011_220215,DM796_seq_cor
Stool001,GAM-EtInc_220215,DM1065_seq_cor
Stool001,GAM-EtInc_220215,DM1065_seq_cor
Stool001,GAM-TRPTO_220215,DM701_seq_cor
Stool001,GAM-TRPTO_220215,DM701_seq_cor
Stool001,GAM-VANCO_220215,DM712_seq_cor
Stool001,GAM-VANCO_220215,DM712_seq_cor
Stool001,ISO-0028_220215,DM703_seq_cor
Stool001,ISO-0028_220215,DM703_seq_cor
Stool001,ISO-0029_220215,DM704_seq_cor
Stool001,ISO-0029_220215,DM704_seq_cor
Stool001,ISO-0030_220215,DM705_seq_cor
Stool001,ISO-0030_220215,DM705_seq_cor
Stool001,ISO-0030_220215,DM705_seq_cor
Stool001,ISO-0017_220215,DM706_seq_cor
Stool001,ISO-0017_220215,DM706_seq_cor
Stool001,ISO-0012_220215,DM707_seq_cor
Stool001,ISO-0012_220215,DM707_seq_cor
Stool001,ISO-0012_220215,DM707_seq_cor
Stool001,ISO-0011_220215,DM708_seq_cor
Stool001,ISO-0011_220215,DM708_seq_cor
Stool001,ISO-0011_220215,DM708_seq_cor
Stool001,ISO-0027_220215,DM709_seq_cor
Stool001,ISO-0027_220215,DM709_seq_cor
Stool001,ISO-0027_220215,DM709_seq_cor
Stool001,ISO-0010_220215,DM710_seq_cor
Stool001,ISO-0010_220215,DM710_seq_cor
Stool001,ISO-0010_220215,DM710_seq_cor
Stool001,GAM-NaCl_220215,DM711_seq_cor
Stool001,GAM-NaCl_220215,DM711_seq_cor
Stool001,ISO-0023_220215,DM702_seq_cor
Stool001,ISO-0023_220215,DM702_seq_cor
Stool001,ISO-0026_220215,DM713_seq_cor
Stool001,ISO-0026_220215,DM713_seq_cor
Stool001,ISO-0013_220215,DM714_seq_cor
Stool001,ISO-0013_220215,DM714_seq_cor
Stool001,ISO-0019_220215,DM715_seq_cor
Stool001,ISO-0019_220215,DM715_seq_cor
Stool001,ISO-0008_220215,DM716_seq_cor
Stool001,ISO-0008_220215,DM716_seq_cor
Stool001,ISO-0020_220215,DM717_seq_cor
Stool001,ISO-0020_220215,DM717_seq_cor
Stool001,GAM-CAFFE_220215,DM720_seq_cor
Stool001,GAM-CAFFE_220215,DM720_seq_cor
Stool001,GAM-CAFFE_220215,DM720_seq_cor
Stool001,GAM-UREA_220215,DM721_seq_cor
Stool001,GAM-UREA_220215,DM721_seq_cor
Stool001,ISO-0018_220215,DM723_seq_cor
Stool001,ISO-0018_220215,DM723_seq_cor
Stool001,ISO-0015_220215,DM724_seq_cor
Stool001,ISO-0015_220215,DM724_seq_cor
Stool001,BBE-STD_220215,DM725_seq_cor
Stool001,BBE-STD_220215,DM725_seq_cor
Stool001,BBE-STD_220215,DM725_seq_cor
Stool001,MRS-STD_220215,DM726_seq_cor
Stool001,MRS-STD_220215,DM726_seq_cor
Stool001,MRS-STD_220215,DM726_seq_cor
Stool001,ISO-0024_220215,DM727_seq_cor
Stool001,ISO-0024_220215,DM727_seq_cor
Stool001,ISO-0025_220215,DM728_seq_cor
Stool001,ISO-0025_220215,DM728_seq_cor
Stool001,ISO-0025_220215,DM728_seq_cor
Stool001,ISO-0021_220215,DM729_seq_cor
Stool001,ISO-0021_220215,DM729_seq_cor
Stool001,ISO-0009_220215,DM730_seq_cor
Stool001,ISO-0009_220215,DM730_seq_cor
Stool001,ISO-0016_220215,DM732_seq_cor
Stool001,ISO-0016_220215,DM732_seq_cor
Stool001,ISO-0016_220215,DM732_seq_cor
Stool001,ISO-0031_220215,DM751_seq_cor
Stool001,ISO-0031_220215,DM751_seq_cor
Stool001,ISO-0031_220215,DM751_seq_cor
